Какая мышца в теле человека самая сильная?; икроножная и жевательная мышцы
Про что всегда говорят в будущем времени?; про завтра
Какое слово всегда пишется неправильно?; это слово «неправильно». Оно всегда так и пишется – «неправильно»
Сколько месяцев в году имеют 28 дней?; все месяцы
Что можно увидеть с закрытыми глазами?; сны
Река, которая «помещается» во рту?; десна
Как можно склонять голову, не опуская ее вниз?; по падежам
Бывает легкой и тяжелой, но ничего не весит. Бывает быстрой и медленной, но не ходит, не бегает, не летает. Что же это?; музыка
Чем их больше, тем вес меньше. Что это?; дырки
Деревянная река, деревянный катерок, а над катером струится деревянный дымок. Что это?; рубанок
Несла бабка на базар сто яиц, а дно упало, сколько яиц осталось в корзине.; ни одного ведь дно упало
Москва — 100, Ярославль — 1000, Архангельск — 500. О чем речь?; рубли, изображения на купюрах
На корабле два моряка один смотрит на запад, а другой на восток, но они видят друг друга как это получилось.; они смотрят друг на друга
Летели утки, одна впереди и две позади, одна позади и две впереди, одна между двумя. Сколько их было всего?; три
Сколько фруктов можно съесть натощак?; один фрукт, так как следующие будут уже не натощак
В одной семье у двух сестер было по одному брату у каждой. Сколько всего детей в семье?; всего 3 ребенка, две сестры и брат
Как положить карандаш в комнате так, чтобы никто не смог перешагнуть или перепрыгнуть его?; положить карандаш около стены
Меняется в течение года, но может быть фиксированной.; дата
Что я могу сделать, чего ты никогда в жизни повторить не сможешь?; проползти у тебя между ног
Что разбивается, но никогда не падает? Что падает, но никогда не разбивается.; сердце и давление
Союз, число потом предлог — вот и вся загадка. А чтоб ответ найти ты смог, о реках вспомнить надо.; исток
На столе лежит 100 листов бумаги. За каждые 10 секунд можно посчитать 10 листов. Сколько секунд понадобится, чтобы посчитать 80 листов?; 80 секунд
Жители средневековой Европы иногда привязывали к подошвам деревянные чурки. С какой целью они это делали?; для защиты от грязи, так как канализации не было и помои выливали прямо на улицу
Человек скупал фрукты по 10 рублей за штуку, но продавал их по 5 рубля за штуку. Спустя какое-то время он стал миллионером. Как у него это получилось?; он был миллиардером
Детей у него может и не быть, но он все равно папа. Как такое возможно?; это Папа Римский
Можно ли с помощью сети ловить воду?; можно, если вода замерзла
Что станет больше, если его перевернуть вверх ногами?; число 6
Что можно взять в левую руку, но нельзя в правую?; локоть правой руки
В месяце три воскресенья выпали на четные числа. Какой день недели был седьмого числа этого месяца?; (Ответ: пятница. Воскресенья выпадут на числа: 2, 9, 16, 23, 30
Банка стоит на столе. Стоит она так, что одна ее половина находится в воздухе, а другая на столе. Что лежит в банке, если через полчаса она упадет? И почему?; лед. Он растает, и банка упадет
Где люди платят за то, что у них отнимают?; парикмахерская
Разутый, но в сапогах. Ходит по земле, но вниз головой.; гвоздь в сапоге
Какую маленькую лошадку нужно поставить между двумя местоимениями, чтобы получилось название страны?; пони, Япония
Где на Земле дует всегда южный ветер?; на Северном полюсе
Сколько различных цифр надо использовать, чтобы написать число 100?; две, ноль и один
Ночной сторож умер днем. Дадут ли ему пенсию?; мертвому пенсия не дают
Какой остров сам себя называет предметом белья?; Ямайка, я — майка
Человек полностью здоров, не умер, не инвалид, но выносят его из больницы на руках.; новорожденный
Из какого крана нельзя помыть руки?; из строительного
Какой человек сможет удержать слона?; (Ответ- шахматист
Жили муж и жена. У мужа в доме была своя комната, в которую он запрещал своей жене входить. И вот муж уехал в командировку, а жена решила зайти в эту комнату. Она взяла ключ, открыла ее, включила свет. Жена походила по комнате, затем на столе увидела книгу. Она открыла ее и услышала, что кто-то открывает дверь. Это пришел муж. Он взял ключ, открыл комнату и понял, что в ней кто-то был. Как муж догадался?; муж потрогал лампочку, она была горячая
Назовите хотя бы трех животных, которых Моисей взял в свой ковчег?; Пророк Моисей не брал животных в ковчег, это делал праведный Ной
Перекресток, светофор. КАМАЗ, повозка и мотоциклист стоят и ждут зеленого света. Загорелся желтый, КАМАЗ поехал. Лошадь испугалась и укусила мотоциклисту ухо. Вроде ДТП, но кто нарушил правила?; мотоциклист, он был без шлема
Вы стоите перед тремя выключателями. За непрозрачной стеной три лампочки в выключенном состоянии. Вам нужно произвести манипуляции с выключателями, зайти в комнату и определить, к какой лампочке относится каждый выключатель.; сначала нужно включить два выключателя. Через какое-то время один из них выключить. Зайти в комнату. Одна лампочка будет горячая от включенного выключателя, вторая – теплая от выключенного, третья – холодная, от нетронутого выключателя
Как наполнить бочку ровно на одну половину, не используя измерительных приборов?; наклонить бочку и лить, пока она в горизонтальном положении не заполнится, чтобы было видно начало дна, и не будет касаться края
Сказочному гному еженощно нужна новая свеча, которой он светит себе в дороге, ходя по городу. Он может сделать 1 новую свечу из 5 свечных огарков. Если у него наберется 25 огарков, то на сколько ночей ему хватит запаса новых свечей?; на 6 ночей. Он сможет сделать 5 новых свеч из 25 огарков, а когда они сгорят, он может сделать шестую из тех 5 огарков, что от них останутся
Однажды один коллекционер старинных денег увидел в антикварном магазине монету, на которой стояла дата — 175-й год до нашей эры. Эта римская монета стоила она не очень дорого. Но коллекционер ее не купил. Почему?; коллекционер понял, что у него в руках подделка, так как мастер, который изготовил монету, не знал, что живет «до нашей эры»
Жил был богатый барин. Однажды утром он должен был уезжать в путешествие. Но перед тем, как уехать, к нему подбежал сторож и начал кричать о том, чтобы барин никуда не ехал, потому что ему приснилось, что барин попадет в аварию. Но барин взял его и уволил. За что?; сторож спал на работе
Ползут 3 черепахи. 1-я черепаха говорит — за мной ползут две черепахи. 2-я черепаха говорит — за мной ползет одна черепаха и передо мной ползет одна черепаха. А 3-я черепаха — передо мной ползут две черепахи и за мной ползет одна черепаха. Как такое может быть?; черепахи ползут кругом
Однажды утром мужчина замечает, что в одной из шин его машины совсем нет воздуха. Все же он садится в машину и едет 150 км к своему клиенту. После визита он возвращается обратно. Хотя он не накачивал шину, он смог передвигаться на своем авто без проблем. Почему он мог ездить на автомобиле?; спущенная шина была на запасном колесе
Стоит тюрьма, рядом больница. Вокруг них рельсы, а на рельсах движется кругом с большой скоростью поезд. Одному мальчику надо попасть к деду в тюрьму, а одной девочке к бабушке в больницу. Как им это сделать, если поезд не останавливается?; мальчику надо бросить девочку под поезд, тогда он попадет в тюрьму, а девочку отведут в больницу
У директора школы есть брат Николай. Но у Николая нет братьев. Может ли такое быть?; да. Директор школы может быть женщиной
Два друга считали прохожих. Один сидел на месте и считал всех прохожих. А второй ходил взад-вперед и считал тех, кто идет ему навстречу. Кто насчитал больше?; одинаково. Второй идет в одну сторону считает одних, в другую — других
Моя жизнь может быть измерена в часах. Я служу, когда уменьшаюсь. Когда я тонкая, я быстрая. Когда я толстая, я медленная. Ветер мой враг. Кто я?; свеча
Сколько земли содержит яма диаметром 3 метра и глубиной 3 метра?; нисколько, ямы пустые
На столе лежали три огурца и четыре яблока. Ребенок взял со стола одно яблоко. Сколько фруктов осталось на столе?; 3 фрукта, а огурцы – это овощи
Кого простой смертный видит каждый день, король — очень редко, а Бог — никогда.; себе подобных
Человек выпрыгнул из самолета без парашюта. Он приземлился на твердый грунт, но остался невредимым. Почему?; самолет стоял на земле
Глубиной она не больше высоты стакана, размером не больше охвата человеческих рук, но сколько бы воды в нее ни выливали, она все равно не заполнится.); раковина.
В какое время Луна весит больше?; когда она полная
Больше часа, меньше минуты.; секунда, стрелка некоторых моделей часов
Почему стоп-кран в поездах красного цвета, а в самолетах голубого?; в самолетах нет стоп-крана.» На самом деле в самолете есть стоп-кран в кабине пилота
Мальчик заплатил за бутылку с пробкой 11 рублей. Бутылка стоит на 10 рублей больше, чем пробка. Сколько стоит пробка?; 50 копеек
В каком городе спрятались мужское имя и сторона света?; Владивосток
По чему ходят часто, а ездят редко?; по лестнице
Идет то в гору, то с горы, но остается на месте.; дорога
В каком слове 5 «е» и никаких других гласных?; переселенец
Какой стол не имеет ног?; диетический
Как человеку не спать 8 дней?; спать по ночам
По какому животному ходят люди и проезжают машины?; зебра
В каком слове «нет» употребляется 100 раз?; стонет
Какой слон без носа?; шахматный
По какому пути еще никто никогда не ходил и не ездил?; млечный путь
